"","evolution","alpha","Vo","Ve","Gradient"
"39",39,85.0278077684323,59.0278077684323,34.0278077684323,208.501981103624
"40",40,85.0063085530637,59.0063085530637,34.0063085530637,184.810403204026
"41",41,84.9682632267578,58.9682632267578,33.9682632267578,142.725243589355
"42",42,84.9193694554606,58.9193694554606,33.9193694554606,88.4245996017408
"43",43,84.8660336636199,58.8660336636199,33.8660336636199,29.0569540499306
"44",44,84.8145923976399,58.8145923976399,33.8145923976399,-28.1801526015288
"45",45,84.7705988608583,58.7705988608583,33.7705988608583,-76.9975584293844
"46",46,84.7382644982299,58.7382644982299,33.7382644982299,-112.740997415199
"47",47,84.7201143279796,58.7201143279796,33.7201143279796,-132.738219537168
"48",48,84.7168714950056,58.7168714950056,33.7168714950056,-136.305337224943
"49",49,84.7275510507217,58.7275510507217,33.7275510507217,-124.55111478213
"50",50,84.7497245579016,58.7497245579016,33.7497245579016,-100.088756920771
"51",51,84.7799113251273,58.7799113251273,33.7799113251273,-66.6793528340484
"52",52,84.8140492185862,58.8140492185862,33.8140492185862,-28.7838649402125
"53",53,84.8479930881278,58.8479930881278,33.8479930881278,8.97334088334277
"54",54,84.8779846753223,58.8779846753223,33.8779846753223,42.3633601104698
"55",55,84.9010406836582,58.9010406836582,33.9010406836582,68.0307093124533
"56",56,84.9152185803127,58.9152185803127,33.9152185803127,83.8072881792187
"57",57,84.9197397374503,58.9197397374503,33.9197397374503,88.8364491176211
"58",58,84.9149703455338,58.9149703455338,33.9149703455338,83.5311331557197
"59",59,84.9022770855742,58.9022770855742,33.9022770855742,69.4068144043576
"60",60,84.8837855375705,58.8837855375706,33.8837855375706,48.821996709768
"61",61,84.8620760292162,58.8620760292162,33.8620760292162,24.6506574646429
"62",62,84.8398553108673,58.8398553108674,33.8398553108674,-0.0833277547899794
"63",63,84.8196427899453,58.8196427899453,33.8196427899453,-22.5660219680088
"64",64,84.8035059981031,58.8035059981031,33.8035059981031,-40.4979369518805
"65",65,84.7928713112219,58.7928713112219,33.7928713112219,-52.304803909335
"66",66,84.7884242265509,58.7884242265509,33.7884242265509,-57.2391096041939
"67",67,84.7901012904607,58.7901012904607,33.7901012904607,-55.3785227962007
"68",68,84.7971652708982,58.7971652708983,33.7971652708983,-47.5387063099616
"69",69,84.8083473637274,58.8083473637274,33.8083473637274,-35.11992844177
"70",70,84.8220350610461,58.8220350610461,33.8220350610461,-19.9061722722163
"71",71,84.8364814828334,58.8364814828334,33.8364814828334,-3.83741472514007
"72",72,84.8500114681323,58.8500114681323,33.8500114681323,11.2199492465469
"73",73,84.8612017598297,58.8612017598297,33.8612017598297,23.6773008955074
"74",74,84.8690171951847,58.8690171951847,33.8690171951847,32.3788121522323
"75",75,84.8728913601426,58.8728913601426,33.8728913601426,36.6923678472769
"76",76,84.8727476134695,58.8727476134695,33.8727476134695,36.5323173529852
"77",77,84.8689635722617,58.8689635722617,33.8689635722617,32.3191079788869
